"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Placement,"Conversion device",Platform,Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,desktop,facebook,2026-06-23,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,Feed,desktop,facebook,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,Feed,iphone,facebook,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,0,facebook,2026-06-23,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,iphone,facebook,2026-06-23,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 4 - Where we met",120247312792460327,"2 Print Static",120247312792610327,Feed,0,instagram,2026-06-23,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 4 - Where we met",120247312792460327,"2 Print Static",120247312792610327,Feed,iphone,instagram,2026-06-23,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 5 - Parents Gift",120247312792470327,"1 Print Static + Grandma",120247312792640327,Feed,iphone,facebook,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",0,facebook,2026-06-23,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"2 Print + Dads Gift",120247312792540327,Feed,0,facebook,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 5 - Parents Gift",120247312792470327,"1 Print Static + Grandma",120247312792640327,Feed,0,facebook,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Right column",desktop,facebook,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",0,instagram,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",android_smartphone,instagram,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",iphone,instagram,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,0,facebook,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",iphone,facebook,2026-06-23,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,iphone,facebook,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,0,instagram,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,iphone,instagram,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"2 Print + Dads Gift",120247312792540327,Feed,iphone,facebook,2026-06-23,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,0,facebook,2026-06-23,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,desktop,facebook,2026-06-23,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,iphone,facebook,2026-06-23,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-23,2026-06-23
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,Feed,0,facebook,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",iphone,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Free Shipping Ad",120247312851620327,Feed,android_smartphone,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Free Shipping Ad",120247312851620327,Feed,0,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Free Shipping Ad",120247312851620327,Feed,iphone,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,"Instagram Stories",0,instagram,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,"Instagram Stories",iphone,instagram,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",android_smartphone,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,Feed,desktop,facebook,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,Feed,iphone,facebook,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,0,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,android_smartphone,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,ipad,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,iphone,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,desktop,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",ipad,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 4 - Where we met",120247312792460327,"2 Print Static",120247312792610327,Feed,desktop,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",0,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,ipad,facebook,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,iphone,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",0,instagram,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",ipad,instagram,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",iphone,instagram,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Search results",iphone,facebook,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,0,facebook,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Search results",0,facebook,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,iphone,facebook,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,0,instagram,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,ipad,instagram,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,iphone,instagram,2026-06-22,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,0,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,desktop,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,android_smartphone,facebook,2026-06-22,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-22,2026-06-22
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Stories",iphone,facebook,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 4 - Where we met",120247312792460327,"2 Print Static",120247312792610327,Feed,android_smartphone,instagram,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 4 - Where we met",120247312792460327,"2 Print Static",120247312792610327,Feed,0,instagram,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 7 - fathers day",120247312792490327,"1 Image Static",120247312792410327,Feed,iphone,facebook,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",0,facebook,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,iphone,facebook,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,ipad,facebook,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,android_smartphone,facebook,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,0,facebook,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",iphone,facebook,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Stories",0,facebook,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,iphone,instagram,2026-06-21,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,0,instagram,2026-06-21,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,iphone,facebook,2026-06-21,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,android_smartphone,facebook,2026-06-21,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,0,facebook,2026-06-21,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",0,instagram,2026-06-21,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",iphone,instagram,2026-06-21,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 4 - Where we met",120247312792460327,"3 Print Static Ad",120247312792630327,Feed,0,facebook,2026-06-21,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-21,2026-06-21
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,android_smartphone,facebook,2026-06-20,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-20,2026-06-20
