"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,Placement,"Impression device",Platform,"Conversion device","Amount spent (USD)",Reach,Impressions,Starts,Ends,"Attribution setting",Frequency,"Result type",Results,"CPC (cost per link click)","CTR (all)","CPM (cost per 1,000 impressions)","Result rate",Views,"Clicks (all)","CPC (all)","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per post engagement",ThruPlays,"Video plays","3-second video plays","Unique 2-second continuous video plays","Link clicks","Cost per ThruPlay","Cost per 3-second video play","Cost per 2-second continuous video play","CTR (link click-through rate)","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Instagram profile visits","Cost per app activation","App installs","Cost per app install","App activations conversion value","App activations","Purchase ROAS (return on ad spend)","Ratings submitted","Mobile app installs","In-app sessions conversion value","In-app sessions","In-app purchases","In-app registrations completed","In-app trials started","In-app subscriptions conversion value","Purchases rate per landing page views","Purchases rate per link clicks","Landing page views rate per link clicks","Reporting starts","Reporting ends"
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-08,"In-stream reels",android_smartphone,facebook,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-08,2026-05-08
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-08,Feed,android_tablet,facebook,android_tablet,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-08,2026-05-08
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C2_APB_TOP_1865_ADR_BOOK0_V2,120243254910060003,C2B_STC_APP_BOOK0_T2,120243254910110003,2026-05-10,Unknown,other,unknown,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-10,2026-05-10
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C4_APB_TOP_1865_ADR_BOOK0_V2,120243254910200003,C4C_STC_APP_BOOK0_T2,120243254910120003,2026-05-10,Feed,android_smartphone,instagram,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-10,2026-05-10
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C4_APB_TOP_1865_ADR_BOOK0_V2,120243254910200003,C4C_STC_APP_BOOK0_T2,120243254910120003,2026-05-10,Feed,android_smartphone,facebook,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-10,2026-05-10
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C2_APB_TOP_1865_ADR_BOOK0_V2,120243254910060003,C2B_STC_APP_BOOK0_T2,120243254910110003,2026-05-10,"Facebook profile feed",android_smartphone,facebook,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-10,2026-05-10
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-08,"Ads on Facebook Reels",android_smartphone,facebook,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-08,2026-05-08
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-08,Feed,android_smartphone,instagram,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-08,2026-05-08
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-11,Feed,android_smartphone,facebook,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,1,,,,,,,,,,2026-05-11,2026-05-11
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-08,Feed,android_smartphone,facebook,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-08,2026-05-08
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-08,"Threads feed",android_smartphone,threads,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-08,2026-05-08
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-08,"Instagram Stories",android_smartphone,instagram,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-08,2026-05-08
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-11,"Instagram Stories",android_smartphone,instagram,android_smartphone,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2026-05-11,2026-05-11
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C2_APB_TOP_1865_ADR_BOOK0_V2,120243254910060003,C2B_STC_APP_BOOK0_T2,120243254910110003,2026-05-10,Feed,android_smartphone,instagram,0,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2026-05-10,2026-05-10
"BOOK0_APP_MAY26_ADR_MST_V1 [Android]",120243254910040003,C1_APB_TOP_1865_ADR_BOOK0_V2,120243254910070003,C1D_STC_APP_BOOK0_T2,120243254910190003,2026-05-11,"Instagram Stories",android_smartphone,instagram,0,,,,2026-05-02,Ongoing,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2026-05-11,2026-05-11
